Nome,Nota,Total de Avaliações,Total de Comentários,Desenvolvedor,Versão Atual,Lançamento,Data Ultima Atualização,Hospedagem,Downloads Totais,Comentários
Atrio Active,2.7,None,0,Multilaser Mobile,1.1.1,"Aug 11, 2015","August 11, 2015",Brasil,"10,000+","[{'Comentario': 'No meu relógio só funcionou o app de nome sw atrio', 'Nota': 5, 'Data': datetime.datetime(2021, 5, 17, 21, 6, 46)}, {'Comentario': 'Rapaz vcs deveriam esta preso com tantas mentiras nada funciona direito', 'Nota': 1, 'Data': datetime.datetime(2020, 7, 10, 12, 28, 50)}, {'Comentario': 'Lixo', 'Nota': 1, 'Data': datetime.datetime(2020, 6, 1, 13, 1, 25)}, {'Comentario': 'Horrível', 'Nota': 1, 'Data': datetime.datetime(2020, 2, 29, 23, 41, 17)}, {'Comentario': 'Legal', 'Nota': 5, 'Data': datetime.datetime(2020, 2, 1, 23, 53, 49)}]"
Atrio Active Plus +,2.1,None,0,Multilaser Mobile,1.0.4,"Dec 15, 2016","December 15, 2016",Brasil,"5,000+","[{'Comentario': 'otimo navegador', 'Nota': 5, 'Data': datetime.datetime(2021, 11, 10, 18, 44, 56)}, {'Comentario': 'No meu atrio só funcionou o app de nome sw atrio', 'Nota': 5, 'Data': datetime.datetime(2021, 5, 17, 21, 5, 45)}, {'Comentario': 'Pior que não consigo conectar e nem ajustar a hora. Poderia pelo menos vir com a hora certa para servir para ver a hora.', 'Nota': 1, 'Data': datetime.datetime(2020, 12, 5, 11, 44, 51)}, {'Comentario': 'Se eu tivesse lido os comentários aqui antes de comprar, não teria gasto 200 reais atoa. Pulseira não funciona, não atualiza a hora, não conecta em nenhum app, e a loja tá pouco se fudendo... Realmente é aquela, o barato (nem tão barato assim) que sai caro.', 'Nota': 1, 'Data': datetime.datetime(2020, 11, 8, 21, 47, 22)}, {'Comentario': 'Até agora nada....Bluetooth travou!!! Cadê o botão reset? Minha pulseira foi devolvida. Responder quase 3 anos depois é um erro de canal de comunicação.', 'Nota': 1, 'Data': datetime.datetime(2020, 11, 1, 20, 55, 16)}]"
Atrio Fitness,2.1,None,0,Multilaser Mobile,1.0.1,"Jul 31, 2015","July 31, 2015",Brasil,"10,000+","[{'Comentario': 'O app é o melhor. E é uma pena que os desenvolvedores o tenham abandonado', 'Nota': 4, 'Data': datetime.datetime(2021, 12, 30, 4, 20, 49)}, {'Comentario': 'Não consigo usar o aplicativo. Meu celular s10 plus não encontra o cinta cardíaca... já reinstalei, reiniciei o celular. Só nesse aplicativo, porque no strava reconhece certinho. Aparece para procurar atualizações mais recente, já tentei essa opção, tem a outra também que tentei dando ok, mas sem sucesso igual...', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 20, 9, 35, 58)}, {'Comentario': 'Celular Samsung note 20 - Aplicativo não encontra os sensores. Já reinstalei e etc e nada. Prefisam verificar isso.', 'Nota': 1, 'Data': datetime.datetime(2021, 8, 18, 11, 0, 24)}, {'Comentario': 'O app Atrio Fitness é muito bom, espero que atualizem para que possa ser utilizado em celulares mais modernos. Para o aplicativo se conectar ao celular Moto E5 play, tive que conectar o monitor com a cinta, umedecer a área dos sensores e colocar no corpo. Baixei os app: Atrio Fitness, Wahoo Fitness e Strava, todos se conectaram com o monitor. Farei teste e verificarei qual se adequa mais aos treinos e não trava antes do mesmo terminar.', 'Nota': 3, 'Data': datetime.datetime(2021, 6, 30, 19, 19, 44)}, {'Comentario': 'Cinta não está pareando com o celular. O celular fica procurando e não a encontra.', 'Nota': 1, 'Data': datetime.datetime(2021, 6, 17, 11, 26, 45)}]"
Atrio Smart,2.1,None,0,Multilaser Mobile,1.0.8,"Dec 25, 2020","September 27, 2019",Brasil,"10,000+","[{'Comentario': 'Muito bom e muito fácil conectar', 'Nota': 5, 'Data': datetime.datetime(2021, 12, 30, 14, 2, 55)}, {'Comentario': 'Essa mísera e ruim de mais preta não seloco', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 23, 12, 4, 40)}, {'Comentario': 'Compreio 2 relógios e nem um sincroniza ajuda aiiiiii', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 22, 20, 36, 16)}, {'Comentario': 'Baixei estava funcionando, depois de um tempo não funciona mais... Vamos melhorar!!!', 'Nota': 2, 'Data': datetime.datetime(2021, 11, 26, 19, 39, 53)}, {'Comentario': 'Aplicativo não sincroniza com a pulseira, fica aparecendo a mensagem de ""Informação: Aniversário do usuário"". Precisam atualizar e resolver os problemas, senão minha compra foi péssima.', 'Nota': 1, 'Data': datetime.datetime(2021, 11, 20, 20, 20, 5)}]"
CareMeTens,1.5,None,0,Jumper-Medical,2.1.5,"Oct 16, 2017","November 8, 2021",China,"1,000+","[{'Comentario': 'não consigo instalar no meu celular', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 28, 12, 19, 37)}, {'Comentario': 'Bem ruim. Até conecta na primeira vez, depois perde a conexão com o aparelho Multilaser, que fica ligado até acabar a bateria. Um perigo! Não comprem o aparelho, não usem o aplicativo.', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 2, 13, 58, 9)}, {'Comentario': 'PRECISA LIGAR A LOCALIZAÇÃO PARA O BLUETOOTH CONECTAR NO APP. Não lembro se vem no manual, mas senti falta de mais informação sobre como usar o app. Existem modos e não tem explicação sobre para que é adequado cada um. Fora isso o app cumpre o que promete e o aparelho é excelente.', 'Nota': 4, 'Data': datetime.datetime(2021, 11, 8, 1, 9)}, {'Comentario': 'Meu aparelho não conecta, preciso de troca!', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 27, 21, 10, 48)}, {'Comentario': 'O app nao funciona.', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 9, 22, 54, 38)}]"
EvolveBT,://,None,0,Multilaser Mobile,4.41,None,"May 21, 2021",Brasil,50+,"[{'Comentario': 'Muito ruim', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 10, 23, 12, 53)}]"
Controle Evolve TV,2.8,None,0,Multilaser Mobile,1.4.9,"Oct 28, 2020","January 15, 2021",Brasil,"5,000+","[{'Comentario': 'Nao pega', 'Nota': 1, 'Data': datetime.datetime(2021, 11, 22, 19, 57, 1)}, {'Comentario': 'Aplicativo ruiiiiiiimmmmmmm', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 25, 21, 29, 49)}, {'Comentario': 'Não funciona no Evolve GP349 que é o modelo mais recente de multimídia.', 'Nota': 1, 'Data': datetime.datetime(2021, 10, 16, 12, 27, 4)}, {'Comentario': 'Eu presiso de um controle para convesor Multilaser e nao funcionou', 'Nota': 2, 'Data': datetime.datetime(2021, 10, 7, 16, 20, 3)}, {'Comentario': 'Lixo', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 6, 7, 17, 45)}]"
Drones ML,2.3,None,0,Zheng Xiang,1.1.1,"Dec 10, 2018","June 10, 2021",China,"10,000+","[{'Comentario': 'Demora muito a abrir, quando abre.', 'Nota': 2, 'Data': datetime.datetime(2021, 12, 31, 12, 24, 54)}, {'Comentario': 'Péssimo', 'Nota': 1, 'Data': datetime.datetime(2021, 12, 30, 14, 36, 20)}, {'Comentario': 'Toda vez que aperto a tecla controles o App minimiza a tela0', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 25, 13, 30, 55)}, {'Comentario': 'App nem se quer conecta com o drone, e pelo que vi não há suporte pra corrigir essa falha.', 'Nota': 1, 'Data': datetime.datetime(2021, 9, 24, 10, 36)}, {'Comentario': 'Adorei a nova atualização agora meu drone fenix gps vai ate 400 a 300 metros adorei o drone e o aplicativo so a camera do drone que da umas travadas mais adorei', 'Nota': 5, 'Data': datetime.datetime(2021, 8, 21, 12, 12, 53)}]"
FitCloud Pro,2.9,10892,580,htang,1.3.6,"Jan 23, 2019","December 24, 2021",China,"1,000,000+","[{'Comentario': 'Já foi melhor. Hoje em dia o smartwatch vive desconectando, sem mais nem menos. Parece que ficou louco.', 'Nota': 2, 'Data': datetime.datetime(2022, 1, 10, 17, 39, 22)}, {'Comentario': 'caio alano de souza 28', 'Nota': 5, 'Data': datetime.datetime(2022, 1, 9, 22, 38, 42)}, {'Comentario': 'Não gostei, fica desconectando toda hora e não atualiza os dados ...decepção', 'Nota': 1, 'Data': datetime.datetime(2022, 1, 9, 20, 37, 38)}, {'Comentario': 'Eu não consigo ativar as notificações no meu aparelho, da sempre erro... O que eu faço?', 'Nota': 3, 'Data': datetime.datetime(2022, 1, 8, 21, 21, 14)}, {'Comentario': 'já tentei várias vezes mais está empareando', 'Nota': 1, 'Data': datetime.datetime(2022, 1, 8, 6, 24, 35)}]"
FitDays,3.5,8724,297,ICOMON,1.9.10,"Sep 29, 2018","January 11, 2022",China,"1,000,000+","[{'Comentario': 'O aplicativo e bom mais tem limite de 24 usuário', 'Nota': 3, 'Data': datetime.datetime(2022, 1, 11, 7, 35, 10)}, {'Comentario': 'Em momentos a comunicação com a balança é falha. Não disponibiliza a opção de excluir medidas ou pesagens efetuadas. Tem cálculos que não estão exatos no gráfico.', 'Nota': 2, 'Data': datetime.datetime(2022, 1, 10, 18, 11, 10)}, {'Comentario': 'Conecta e cai, paga caro numa balança pro aplicativo nunca funcionar', 'Nota': 1, 'Data': datetime.datetime(2022, 1, 10, 6, 47, 22)}, {'Comentario': 'App muito bom. Várias informações. Perfeito para acompanhamento do treino. Fácil de usar, e tem a opção de mandar as informacões automaticamente para o Samsung Health, que eu uso para acompanhar minhas corridas e caminhadas. Excelente!', 'Nota': 5, 'Data': datetime.datetime(2022, 1, 8, 18, 16, 48)}, {'Comentario': 'eu gostei muito', 'Nota': 3, 'Data': datetime.datetime(2022, 1, 6, 18, 23, 38)}]"
